ID;CHURN;AUTRE_ABONNEMENT;ANCIENNETE;CATEGORIE_OFFRE_M1;STATUT_RC_M1;STATUT_TRAFIC_M1;STATUT_FACT_M1;STATUT_TRAFIC_M2;STATUT_RC_M2;STATUT_FACT_M2;VOL_DATA_M1;MONTANT_OM_HT_M1;MONTANT_FACT_HT_M1;VOL_DATA_M2;MONTANT_OM_HT_M2;MONTANT_FACT_HT_M2;VOL_TOT_DATA_KO_M1;VOL_TOT_VOIX_M1;CONSO_M1;VOL_TOT_DATA_KO_M2;VOL_TOT_VOIX_M2;CONSO_M2
62113231;0;0;5- 18Mois;B2C;0;1;0;1;0;0;112.90458246;0;0;72.90228251;0;0;0;0;0;0;0;0
72353790;0;0;1- 03Mois;B2C;0;1;0;1;0;0;72.6263215085;0;0;2176.7262698642;0;0;14424256.3867188;907.05;12950;13183098.9892578;997.383333333333;15268.44
60545833;0;0;5- 18Mois;B2C;0;1;0;1;0;0;227767.350277954;0;0;165206.3192813;0;0;0;25.5833333333333;350;0;24.6666666666667;810.23
33650229;0;1;7- 25Mois+;B2B;0;1;1;1;0;1;149903.0914;0;58475;106865.99218;0;58475;894097.142578125;280.966666666667;1194;3214029.08007813;408.466666666667;2755.15
63654615;0;0;4- 12Mois;B2C;0;1;0;1;1;0;241766.830648769;0;0;73527.9264;24793.3884297521;0;15697233.3017578;356.833333333333;14279.77;34961583.7519531;389.8;25642.67
60358460;1;1;5- 18Mois;B2C;0;1;0;1;0;0;10827.9709722049;0;0;18033.1413563148;0;0;0;0;0;0;0;0
73129625;0;0;1- 03Mois;B2C;1;1;0;;0;;85212.477138085;0;0;0;0;0;10661121.5683594;986.416666666667;15315;13064918.6767578;841.183333333333;13249
62454910;0;0;5- 18Mois;B2C;1;1;0;1;0;0;19450.10061217;0;0;57762.7334983;0;0;10676313.3623047;694.1;7500;6045903.42285156;1246.73333333333;10500
72784314;0;0;1- 03Mois;B2B;0;1;1;1;1;1;200012.7395773;0;49586;142235.653094286;8264.46280991736;49586;12695429.4658203;826.55;17652.19;16428077.9580078;1395.83333333333;17350
33837783;1;1;7- 25Mois+;B2C;0;1;0;0;0;0;0.30623817;0;0;0;0;0;16005794.8886719;1078.51666666667;12557.23;19232247.5966797;1343.23333333333;16704.3
51527932;1;0;7- 25Mois+;B2C;0;1;0;1;1;0;24996.01945;0;0;35093.47085;14049.5867768595;0;0;0;0;0;0;0
45884580;0;1;7- 25Mois+;B2C;0;0;0;0;0;0;0;0;0;0;0;0;17862321.8496094;1523.43333333333;23378;6143166.61816406;1025.61666666667;21721
48538002;0;1;7- 25Mois+;B2C;0;1;0;1;1;0;285576.493039516;0;0;183736.639964416;20661.1570247934;0;8144765.77929688;777.283333333333;9600;3638255.19042969;1248.65;13190.16
72817988;0;1;1- 03Mois;B2B;0;1;0;1;1;0;14391.052490153;0;0;24112.4757200812;0;0;687367.712890625;1588.38333333333;11162.6;145316.266601563;1338.6;11572.91
72082110;0;0;1- 03Mois;B2C;0;1;0;1;0;0;0.039764404;0;0;0.07969093212;0;0;3856172.28808594;498.766666666667;11499;2061753.78417969;433.783333333333;8900
69110123;0;0;2- 06Mois;B2C;0;1;0;1;0;0;173062.61518288;0;0;155163.23634;0;0;435268.55078125;182.283333333333;7055;0;0;0
54683378;0;1;6- 24Mois;B2B;0;1;0;1;1;0;129.71915984;0;0;49119.43095364;0;0;9809829.20117188;758.066666666667;19188.1;17731791.1142578;505.9;12710
