"ID","CHURN","AUTRE_ABONNEMENT","ANCIENNETE","CATEGORIE_OFFRE_M1","STATUT_RC_M1","STATUT_TRAFIC_M1","STATUT_FACT_M1","STATUT_TRAFIC_M2","STATUT_RC_M2","STATUT_FACT_M2","VOL_DATA_M1","MONTANT_FACT_HT_M1","VOL_DATA_M2","MONTANT_OM_HT_M2","MONTANT_FACT_HT_M2","VOL_TOT_DATA_KO_M1","VOL_TOT_VOIX_M1","CONSO_M1","VOL_TOT_DATA_KO_M2","VOL_TOT_VOIX_M2","CONSO_M2"
"69776024","0","0","2- 06Mois","B2B","0","1","0","1","0","0","668563.0381","0","203658.2939","0","0","14196764.392578","429.8","10650","6178335.0976562","348.7","10800"
"69072788","1","1","2- 06Mois","B2C","0","1","0","1","1","0","184759.48444096","0","299471.77872174","20661.157024793","0","5286148.8095703","565.51666666667","10200","8717226.6640625","482.63333333333","9900.4"
"47577058","0","1","7- 25Mois+","B2C","0","1","0","1","1","0","49596.04969","0","35479.501361987","4132.2314049587","0","78102.157226562","2147.3833333333","24500","276060.140625","2582.1","27999.1"
"68991290","0","0","3- 09Mois","B2C","0","0","0","1","0","0","0","0","0.007499695","0","0","31415029.359375","657.6","19520.5","43236446.878906","258.21666666667","28374"
"46648590","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","113011.3559","0","90323.70507153","14049.586776859","0","7583460.6240234","2026.2166666667","15299.75","4789383.7285156","1691.45","14200.25"
"69754789","1","0","2- 06Mois","B2C","0","1","0","1","1","0","76.64645655","0","43624.483125504","0","0","13463899.209961","677.98333333333","82042.25","5039429.4433594","291.33333333333","4510"
"57102589","0","1","6- 24Mois","B2C","0","1","0","1","1","0","242546.2757886","0","221693.3715366","20661.157024793","0","37229733.795898","422.91666666667","18255.89","63644374.535156","651.38333333333","41581.09"
"64264836","0","0","4- 12Mois","B2C","1","1","0","1","1","0","569305.0475774","0","691154.8550824","24793.388429752","0","20086130.283203","1501.55","43806","12906154.139648","1513.8","41231"
"68639516","0","0","3- 09Mois","B2C","0","1","0","1","1","0","493074.15558","0","380940.2920223","24793.388429752","0","5580215.0214844","1491.35","16456.58","4207428.3759766","1193.3333333333","11335.22"
"33654173","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","85936.946958234","0","103270.10053498","0","0","33289049.394531","249.21666666667","14200","24525738.936523","280.75","9000"
"51288354","1","0","7- 25Mois+","B2C","0","1","0","1","1","0","17725.6711578","0","41840.2501371","14049.586776859","0","0","0","0","0","0","0"
"64706567","0","1","4- 12Mois","B2C","0","1","0","1","1","0","295346.4626885","0","48565.282099182","0","0","29313929.322266","853","3432","40558635.43457","838.56666666667","3990"
"47106977","0","0","7- 25Mois+","B2C","1","1","0","1","1","0","391461.12512","0","299707.2025","0","0","26.955078125","29.783333333333","7478.75","5434076.4619141","318.25","2022.85"
"51527626","0","1","7- 25Mois+","B2C","0","1","0","1","1","0","251664.91966","0","8548.594495","4132.2314049587","0","2976237.1181641","2125.0666666667","6750","3252041.3818359","1684","7150"
"52716109","0","0","7- 25Mois+","B2B","0","1","0","1","1","0","143025.09044382","0","80956.385126313","0","0","2180914.1367188","446.21666666667","5950.5","7833525.4433594","507.45","10348.75"
"49213879","0","1","7- 25Mois+","B2C","0","1","0","1","0","0","0.1291027065","0","1.749259975","0","0","0","72.5","10049","74139.061523438","15.25","242"
"64284731","1","1","4- 12Mois","B2C","0","1","0","1","1","0","22.41688375","0","48487.8251832","4132.2314049587","0","6003026.6220703","159.96666666667","7822","11651002.730469","557.5","7153.01"
"71227584","0","0","2- 06Mois","B2C","0","1","0","1","0","0","194008.14959985","0","89001.46046429","0","0","24338062.53418","2177.85","35000","30352486.257812","2231.4166666667","23000"
"72073450","0","0","1- 03Mois","B2C","0","1","1","1","0","1","68936.894086522","14050","65514.205484673","0","14050","15891194.793945","3108.1333333333","15850","9397249.2636719","2764.45","15150"
"64158397","0","0","4- 12Mois","B2C","0","1","0","1","0","0","106.27016135","0","110.899965535","0","0","27236826.24707","457","27000","41409744.054688","560","55000.11"
"71208107","1","1","2- 06Mois","B2C","0","1","0","1","1","0","18139.56095004","0","46646.399210586","0","0","0","20.233333333333","1934","0","46.066666666667","4132.97"
"49607773","0","0","7- 25Mois+","B2C","0","1","0","1","0","0","171751.766815","0","290920.6529","0","0","13984526.332031","894.38333333333","18764.34","9632719.7939453","1001.0166666667","9563.6"
"46703038","0","0","7- 25Mois+","B2C","1","1","0","1","1","0","903090.1569","0","596615.8179","49586.776859504","0","0","0.26666666666667","700","0","8.5166666666667","1108"
"61818423","0","0","5- 18Mois","B2C","1","1","0","1","1","0","260558.7464","0","238631.46910298","0","0","22328154.291016","2779.2833333333","15037.22","19938916.90918","1694.15","15706"
"72870421","0","0","1- 03Mois","B2C","0","1","0","1","1","0","921095.93720436","0","184861.9421784","0","0","10226.744140625","70.033333333333","1387","0","208.61666666667","3529.95"
"47720168","0","1","7- 25Mois+","B2C","0","1","0","1","1","0","9095.823532336","0","629828.74434","8264.4628099174","0","0","128.38333333333","3850","0","129.7","3977.44"
"31522904","0","0","7- 25Mois+","B2B","0","1","1","1","0","1","57111.0514","15633","62492.7131765","0","15633","0","0","0","0","0","0"
"61737091","0","0","5- 18Mois","B2C","0","1","0","1","1","0","435742.73030376","0","274632.39199044","24793.388429752","0","1957131.0439453","0.1","2550","875096.1796875","4.4166666666667","1500"
